2015-09-01,4066668.0
2015-09-02,3925296.0
2015-09-03,3177614.0
2015-09-04,3566662.0
2015-09-05,3757287.0
2015-09-06,3841049.0
2015-09-07,4018482.0
2015-09-08,3691852.0
2015-09-09,3918906.0
2015-09-10,3929441.0
2015-09-11,3927760.0
2015-09-12,3633339.0
2015-09-13,3447496.0
2015-09-14,3713833.0
2015-09-15,3832844.0
2015-09-16,3749554.0
2015-09-17,3946919.0
2015-09-18,3975839.0
2015-09-19,3820881.0
2015-09-20,3608137.0
2015-09-21,3957586.0
2015-09-22,4039707.0
2015-09-23,4017043.0
2015-09-24,4037352.0
2015-09-25,4040154.0
2015-09-26,3497499.0
2015-09-27,3356801.0
2015-09-28,3873351.0
2015-09-29,4000522.0
2015-09-30,4542797.0
